 ¹|x(12345)|  x4x2x1|x4x2x1(10)|    x5x3|  x5x3(10)||-||  x4x2x1|x4x2x1(10)|    x5x3|  x5x3(10)||-||f|
——————————————————————————————————————————————————————————————————————————————————————————————————————
 0|  00000 |     000|         0|      00|         0|  0|     000|         0|      00|         0|  0|0|
 1|  00001 |     000|         0|      10|         2|  2|     000|         0|      10|         2|  2|1|
 2|  00010 |     100|         4|      00|         0|  4|     100|         4|      00|         0|  4|1|
 3|  00011 |     100|         4|      10|         2|  2|     100|         4|      10|         2|  2|1|
 4|  00100 |     000|         0|      01|         1|  1|     000|         0|      01|         1|  1|d|
 5|  00101 |     000|         0|      11|         3|  3|     000|         0|      11|         3|  3|1|
 6|  00110 |     100|         4|      01|         1|  3|     100|         4|      01|         1|  3|1|
 7|  00111 |     100|         4|      11|         3|  1|     100|         4|      11|         3|  1|d|
 8|  01000 |     010|         2|      00|         0|  2|     010|         2|      00|         0|  2|1|
 9|  01001 |     010|         2|      10|         2|  0|     010|         2|      10|         2|  0|0|
10|  01010 |     110|         6|      00|         0|  6|     110|         6|      00|         0|  6|0|
11|  01011 |     110|         6|      10|         2|  4|     110|         6|      10|         2|  4|1|
12|  01100 |     010|         2|      01|         1|  1|     010|         2|      01|         1|  1|d|
13|  01101 |     010|         2|      11|         3|  1|     010|         2|      11|         3|  1|d|
14|  01110 |     110|         6|      01|         1|  5|     110|         6|      01|         1|  5|0|
15|  01111 |     110|         6|      11|         3|  3|     110|         6|      11|         3|  3|1|
16|  10000 |     001|         1|      00|         0|  1|     001|         1|      00|         0|  1|d|
17|  10001 |     001|         1|      10|         2|  1|     001|         1|      10|         2|  1|d|
18|  10010 |     101|         5|      00|         0|  5|     101|         5|      00|         0|  5|0|
19|  10011 |     101|         5|      10|         2|  3|     101|         5|      10|         2|  3|1|
20|  10100 |     001|         1|      01|         1|  0|     001|         1|      01|         1|  0|0|
21|  10101 |     001|         1|      11|         3|  2|     001|         1|      11|         3|  2|1|
22|  10110 |     101|         5|      01|         1|  4|     101|         5|      01|         1|  4|1|
23|  10111 |     101|         5|      11|         3|  2|     101|         5|      11|         3|  2|1|
24|  11000 |     011|         3|      00|         0|  3|     011|         3|      00|         0|  3|1|
25|  11001 |     011|         3|      10|         2|  1|     011|         3|      10|         2|  1|d|
26|  11010 |     111|         7|      00|         0|  7|     111|         7|      00|         0|  7|0|
27|  11011 |     111|         7|      10|         2|  5|     111|         7|      10|         2|  5|0|
28|  11100 |     011|         3|      01|         1|  2|     011|         3|      01|         1|  2|1|
29|  11101 |     011|         3|      11|         3|  0|     011|         3|      11|         3|  0|0|
30|  11110 |     111|         7|      01|         1|  6|     111|         7|      01|         1|  6|0|
31|  11111 |     111|         7|      11|         3|  4|     111|         7|      11|         3|  4|1|
